Species,Ref,Median.Latitude,Median.Longitude,Capture.Year,Julian.Median,Julian.Range,N.sample,Length.mm.TL,p.Water,p.Protein,p.Lipid,p.Ash,EnergyDensity.kJ/g,L_calc,EDtype
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,112.6,,,,,3.259,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,51.835,,,,,3.285,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,56.182,,,,,3.323,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,117.982,,,,,3.326,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,52.273,,,,,3.346,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,48.325,,,,,3.369,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,56.951,,,,,3.382,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,53.631,,,,,3.413,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,52.53,,,,,3.454,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,132.433,,,,,3.516,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,113.806,,,,,3.537,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,54.553,,,,,3.541,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,61.898,,,,,3.544,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,62.922,,,,,3.554,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,62.949,,,,,3.577,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,63.929,,,,,3.621,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,52.629,,,,,3.656,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,44.934,,,,,3.669,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,67.542,,,,,3.694,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,126.807,,,,,3.719,0,paper
