Event.ID,Species.ID.reported,gbif.binomial,class,family,Movement.type,Movement.measure,Value,Units,Statistic,Movement.mode,Body.mass,Body.mass.units,Study.type,MetaRef,Reference,Body.mass.source,Movement Mode Ref
328,Spermophilus richardsonii,Spermophilus richardsonii,Mammalia,Sciuridae,Dispersal,Distance,975,m,Maximum,Running,406,g,Metastudy,Whitmee & Orme. 2013,Michner & Michener. 1977,Wilman et al 2014,Inferred from Class:  Mammalia
333,Spermophilus richardsonii,Spermophilus richardsonii,Mammalia,Sciuridae,Dispersal,Distance,10000,m,Maximum,Running,406,g,Metastudy,Whitmee & Orme. 2013,Michner & Koeppl. 1985,Wilman et al 2014,Inferred from Class:  Mammalia
334,Marmota menzbieri,Marmota menzbieri,Mammalia,Sciuridae,Dispersal,Distance,3400,m,Maximum,Running,3250,g,Metastudy,Whitmee & Orme. 2013,Milner-Gulland et al. 2006,Wilman et al 2014,Inferred from Class:  Mammalia
335,Marmota menzbieri,Marmota menzbieri,Mammalia,Sciuridae,Dispersal,Distance,5000,m,Maximum,Running,3250,g,Metastudy,Whitmee & Orme. 2013,Milner-Gulland et al. 2006,Wilman et al 2014,Inferred from Class:  Mammalia
336,Marmota menzbieri,Marmota menzbieri,Mammalia,Sciuridae,Dispersal,Distance,4500,m,Maximum,Running,3250,g,Metastudy,Whitmee & Orme. 2013,Milner-Gulland et al. 2006,Wilman et al 2014,Inferred from Class:  Mammalia
337,Panthera pardus,Panthera pardus,Mammalia,Felidae,Dispersal,Distance,200000,m,Maximum,Running,52038.22,g,Metastudy,Whitmee & Orme. 2013,Milner-Gulland et al. 2006,Wilman et al 2014,Inferred from Class:  Mammalia
338,Philantomba monticola,Philantomba monticola,Mammalia,Bovidae,Dispersal,Distance,1500,m,Maximum,Running,4896.05,g,Metastudy,Whitmee & Orme. 2013,Mockrin. 2010 ,Wilman et al 2014,Inferred from Class:  Mammalia
341,Leopardus pardalis,Leopardus pardalis,Mammalia,Felidae,Dispersal,Distance,12000,m,Maximum,Running,11900.08,g,Metastudy,Whitmee & Orme. 2013,Murray & Gardner. 1997,Wilman et al 2014,Inferred from Class:  Mammalia
342,Leopardus pardalis,Leopardus pardalis,Mammalia,Felidae,Dispersal,Distance,13000,m,Maximum,Running,11900.08,g,Metastudy,Whitmee & Orme. 2013,Murray & Gardner. 1997,Wilman et al 2014,Inferred from Class:  Mammalia
347,Aepyceros melampus,Aepyceros melampus,Mammalia,Bovidae,Dispersal,Distance,3200,m,Maximum,Running,52500.08,g,Metastudy,Whitmee & Orme. 2013,Murray. 1982,Wilman et al 2014,Inferred from Class:  Mammalia
349,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Distance,168000,m,Maximum,Running,55508.56,g,Metastudy,Whitmee & Orme. 2013,Nelsom & Mech. 1992,Wilman et al 2014,Inferred from Class:  Mammalia
352,Urocyon cinereoargenteus,Urocyon cinereoargenteus,Mammalia,Canidae,Dispersal,Distance,3000,m,Maximum,Running,3833.72,g,Metastudy,Whitmee & Orme. 2013,Nicholson et al. 1985,Wilman et al 2014,Inferred from Class:  Mammalia
353,Urocyon cinereoargenteus,Urocyon cinereoargenteus,Mammalia,Canidae,Dispersal,Distance,24000,m,Maximum,Running,3833.72,g,Metastudy,Whitmee & Orme. 2013,Nicholson et al. 1985,Wilman et al 2014,Inferred from Class:  Mammalia
358,Caracal caracal,Caracal caracal,Mammalia,Felidae,Dispersal,Distance,90000,m,Maximum,Running,13749.91,g,Metastudy,Whitmee & Orme. 2013,Nowell & Jackson. 1996,Wilman et al 2014,Inferred from Class:  Mammalia
359,Lepus americanus,Lepus americanus,Mammalia,Leporidae,Dispersal,Distance,20116.75,m,Maximum,Running,1710.02,g,Metastudy,Whitmee & Orme. 2013,O'Farrell. 1965,Wilman et al 2014,Inferred from Class:  Mammalia
