db,original,gbif.binomial,gbif.key,rank,status,matchType,phylum,class,family,genus,species
dispdb,Bubo scandiacus,Bubo scandiacus,5959143,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Strigidae,Bubo,Bubo scandiacus
dispdb,Somateria fischeri,Somateria fischeri,2498366,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Anatidae,Somateria,Somateria fischeri
dispdb,Pandion haliaetus,Pandion haliaetus,2480726,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Pandionidae,Pandion,Pandion haliaetus
dispdb,Rallus elegans,Rallus elegans,9480015,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Rallidae,Rallus,Rallus elegans
dispdb,Cynanthus latirostris,Cynanthus latirostris,5228542,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Trochilidae,Cynanthus,Cynanthus latirostris
dispdb,Baeolophus inornatus,Baeolophus inornatus,2487905,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Paridae,Baeolophus,Baeolophus inornatus
dispdb,Tyrannus tyrannus,Tyrannus tyrannus,5229688,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Tyrannidae,Tyrannus,Tyrannus tyrannus
dispdb,Sternula antillarum,Sternula antillarum,5789285,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Laridae,Sternula,Sternula antillarum
dispdb,Psiloscops flammeolus,Psiloscops flammeolus,7807178,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Strigidae,Psiloscops,Psiloscops flammeolus
dispdb,Oreoscoptes montanus,Oreoscoptes montanus,2494973,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Mimidae,Oreoscoptes,Oreoscoptes montanus
dispdb,Catharus bicknelli,Catharus bicknelli,2490800,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Turdidae,Catharus,Catharus bicknelli
dispdb,Coturnicops noveboracensis,Coturnicops noveboracensis,5228183,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Rallidae,Coturnicops,Coturnicops noveboracensis
dispdb,Histrionicus histrionicus,Histrionicus histrionicus,2498224,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Anatidae,Histrionicus,Histrionicus histrionicus
dispdb,Platalea ajaja,Platalea ajaja,2480803,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Threskiornithidae,Platalea,Platalea ajaja
dispdb,Calamospiza melanocorys,Calamospiza melanocorys,2491893,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Passerellidae,Calamospiza,Calamospiza melanocorys
dispdb,Perdix perdix,Perdix perdix,2473958,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Phasianidae,Perdix,Perdix perdix
dispdb,Alophoixus pallidus,Alophoixus pallidus,2486192,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Pycnonotidae,Alophoixus,Alophoixus pallidus
dispdb,Phaethon rubricauda,Phaethon rubricauda,2481361,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Phaethontidae,Phaethon,Phaethon rubricauda
dispdb,Patagioenas fasciata,Patagioenas fasciata,2495266,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Columbidae,Patagioenas,Patagioenas fasciata
dispdb,Callaeas cinereus,Callaeas cinereus,5229945,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Callaeatidae,Callaeas,Callaeas cinereus
dispdb,Sialia currucoides,Sialia currucoides,2490935,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Turdidae,Sialia,Sialia currucoides
dispdb,Scolopax minor,Scolopax minor,2481695,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Scolopacidae,Scolopax,Scolopax minor
dispdb,Setophaga ruticilla,Setophaga ruticilla,2489985,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Parulidae,Setophaga,Setophaga ruticilla
dispdb,Fregata magnificens,Fregata magnificens,2480189,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Fregatidae,Fregata,Fregata magnificens
dispdb,Myadestes palmeri,Myadestes palmeri,2490842,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Turdidae,Myadestes,Myadestes palmeri
dispdb,Calidris alpina,Calidris alpina,2481759,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Scolopacidae,Calidris,Calidris alpina
dispdb,Spatula clypeata,Spatula clypeata,8332393,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Anatidae,Spatula,Spatula clypeata
dispdb,Larus occidentalis,Larus occidentalis,9656686,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Laridae,Larus,Larus occidentalis
dispdb,Picoides tridactylus,Picoides tridactylus,2477804,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Picidae,Picoides,Picoides tridactylus
dispdb,Charadrius alexandrinus,Charadrius alexandrinus,2480311,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Charadriidae,Charadrius,Charadrius alexandrinus
dispdb,Cyanocitta cristata,Cyanocitta cristata,2482593,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Corvidae,Cyanocitta,Cyanocitta cristata
dispdb,Asio flammeus,Asio flammeus,2497295,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Strigidae,Asio,Asio flammeus
dispdb,Camptostoma imberbe,Camptostoma imberbe,2483507,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Tyrannidae,Camptostoma,Camptostoma imberbe
dispdb,Opisthocomus hoazin,Opisthocomus hoazin,2496202,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Opisthocomidae,Opisthocomus,Opisthocomus hoazin
dispdb,Larus argentatus,Larus argentatus,2481139,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Laridae,Larus,Larus argentatus
dispdb,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,2489169,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Hirundinidae,Petrochelidon,Petrochelidon pyrrhonota
dispdb,Zosterops japonicus,Zosterops japonicus,9300456,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Zosteropidae,Zosterops,Zosterops japonicus
dispdb,Larus marinus,Larus marinus,2481172,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Laridae,Larus,Larus marinus
dispdb,Cistothorus palustris,Cistothorus palustris,2493863,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Troglodytidae,Cistothorus,Cistothorus palustris
dispdb,Peucaea botterii,Peucaea botterii,7341548,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Passerellidae,Peucaea,Peucaea botterii
dispdb,Haliaeetus albicilla,Haliaeetus albicilla,2480449,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Accipitridae,Haliaeetus,Haliaeetus albicilla
dispdb,Accipiter gentilis,Accipiter gentilis,2480589,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Accipitridae,Accipiter,Accipiter gentilis
dispdb,Tringa semipalmata,Tringa semipalmata,5789298,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Scolopacidae,Tringa,Tringa semipalmata
dispdb,Sasia abnormis,Sasia abnormis,2478207,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Picidae,Sasia,Sasia abnormis
